id,nombre,marca,categoria,descripcion,sku_caja,precio_caja,cantidad_caja,sku_paquete,precio_paquete,cantidad_paquete,unidad,foto,disponible
39,"Plato 7"" liso blanco Caña Azúcar",Caña Azúcar,Platos y Charolas,"Plato 7"" liso blanco Caña Azúcar",013.2CAÑAA,1299.20,1000,013.2CAÑAAP,180.44,125,Pzas,plato-7-liso-blanco-cana-azucar.jpg,TRUE
40,"Plato 8x8"" blanco cuadrado Caña Azúcar",Caña Azúcar,Platos y Charolas,"Plato 8x8"" blanco cuadrado Caña Azúcar",012CAÑAA,1415.80,500,012CAÑAAP,157.31,50,Pzas,plato-8x8-blanco-cuadrado-cana-azucar.jpg,TRUE
41,Servicio de Envío - Transporte Aéreo,,Servicios,Servicio de Envío - Transporte Aéreo,002ENV,1555.56,,,,,Pzas,servicio-de-envio-transporte-aereo.jpg,TRUE
42,Servicio de Envío - Transporte Terrestre,,Servicios,Servicio de Envío - Transporte Terrestre,001ENV,486.21,,,,,Pzas,servicio-de-envio-transporte-terrestre.jpg,TRUE
43,Servicio de Envío RAM-Tansporte terrestre,,Servicios,Servicio de Envío RAM-Tansporte terrestre,003ENV,90.22,,,,,Pzas,servicio-de-envio-ram-tansporte-terrestre.jpg,TRUE
44,Agitador estuchado (2piezas) Fécula Maíz,Fécula Maíz,Cubiertos y Accesorios,Agitador estuchado (2piezas) Fécula Maíz,046.2FMAIZ,1259.84,500,046.2FMAIZP,727.27,250,sobres,agitador-estuchado-2piezas-fecula-maiz.jpg,TRUE
45,Agitador Fécula Maíz,Fécula Maíz,Cubiertos y Accesorios,Agitador Fécula Maíz,046.0FMAIZ,866.14,2000,046.0FMAIZP,50.00,100,Pzas,agitador-fecula-maiz.jpg,TRUE
46,Bolsa basura jareta 95x110 cm extra gde negra Fécula Maíz,Fécula Maíz,Bolsas,Bolsa basura jareta 95x110 cm extra gde negra Fécula Maíz,048FMAIZ,1806.30,140,048FMAIZP,104.27,c/7,Pzas,bolsa-basura-jareta-95x110-cm-extra-gde-negra-fecula-maiz.jpg,TRUE
47,Bolsa camiseta c/leyenda 23x30 cm Fécula Maíz,Fécula Maíz,Bolsas,Bolsa camiseta c/leyenda 23x30 cm Fécula Maíz,047FMAIZ,2744.57,2000,047FMAIZP,158.44,100,Pzas,bolsa-camiseta-cleyenda-23x30-cm-fecula-maiz.jpg,TRUE
48,"Almeja 8x6"" natural lisa 600 ml Fécula Maíz",Fécula Maíz,Almejas,"Almeja 8x6"" natural lisa 600 ml Fécula Maíz",013FMAIZ,1599.96,400,013FMAIZP,488.88,100,Pzas,almeja-8x6-natural-lisa-600-ml-fecula-maiz.jpg,TRUE
49,"Almeja 8x8"" natural c/3div Fécula Maíz",Fécula Maíz,Almejas,"Almeja 8x8"" natural c/3div Fécula Maíz",006FMAIZ,2250.91,200,006FMAIZP,1375.55,100,Pzas,almeja-8x8-natural-c3div-fecula-maiz.jpg,TRUE
50,"Almeja 8x8"" natural lisa Fécula Maíz",Fécula Maíz,Almejas,"Almeja 8x8"" natural lisa Fécula Maíz",004FMAIZ,1740.00,200,004FMAIZP,1063.33,100,Pzas,almeja-8x8-natural-lisa-fecula-maiz.jpg,TRUE
51,"Almeja 8x8"" negra c/3 div Fécula Maíz",Fécula Maíz,Almejas,"Almeja 8x8"" negra c/3 div Fécula Maíz",007FMAIZ,1512.22,200,007FMAIZP,924.13,100,Pzas,almeja-8x8-negra-c3-div-fecula-maiz.jpg,TRUE
52,"Almeja 8x8"" negra lisa Fécula Maíz",Fécula Maíz,Almejas,"Almeja 8x8"" negra lisa Fécula Maíz",005FMAIZ,2003.64,200,005FMAIZP,1224.44,100,Pzas,almeja-8x8-negra-lisa-fecula-maiz.jpg,TRUE
53,Hoja papel antigrasa 25 grms 30x30 cm cuadros amarillo,Papel Antigrasa,Papel Antigrasa,Hoja papel antigrasa 25 grms 30x30 cm cuadros amarillo,005.1ANTIG,724.41,1000,005.1ANTIGP,112.20,100,Pzas,hoja-papel-antigrasa-25-grms-30x30-cm-cuadros-amarillo.jpg,TRUE
