SKU,Descripción,Precio
033FMAIZP,Tapa Soup Bowl 20 oz negro -no hermética- Fécula Maíz PQTE 50 Pzas. FM,186.67
036FMAIZP,Cuchara 15 cm blanca Fécula Maíz PQTE 200 Pzas. FM*2,152.73
036FMAIZ,"Cuchara 15 cm blanca Fécula Maíz CAJA 1,000 Pzas. FM*2",661.42
039FMAIZ,"Cuchara 15 cm negra Fécula Maíz CAJA 1,000 Pzas. FM",930.71
039FMAIZP,Cuchara 15 cm negra Fécula Maíz PQTE 200 Pzas. FM,214.91
042FMAIZ,"Cuchara jumbo 17.5 cm blanca Fécula Maíz CAJA 1,000 Pzas. FM*2",923.78
042FMAIZP,Cuchara jumbo 17.5 cm blanca Fécula Maíz PQTE 200 Pzas. FM*2,203.00
035FMAIZ,"Cuchara pastelera blanca a granel 12.5 cm Fécula Maíz CAJA 1,000 Pzas. FM*2",585.83
035FMAIZP,Cuchara pastelera blanca a granel 12.5 cm Fécula Maíz PQTE 200 Pzas. FM*2,169.36
041FMAIZ,"Cuchillo 15 cm negro Fécula Maíz CAJA 1,000 Pzas. FM",930.70
041FMAIZP,Cuchillo 15 cm negro Fécula Maíz PQTE 200 Pzas. FM,214.91
038FMAIZ,"Cuchillo 15 cm blanco Fécula Maíz CAJA 1,000 Pzas. FM*2",661.42
038FMAIZP,Cuchillo 15 cm blanco Fécula Maíz PQTE 200 Pzas. FM*2,152.73
044FMAIZ,"Cuchillo jumbo 17.5 cm blanco Fécula Maíz CAJA 1,000 Pzas. FM*2",845.80
044FMAIZP,Cuchillo jumbo 17.5 cm blanco Fécula Maíz PQTE 200 Pzas. FM*2,195.30
045FMAIZ,Set de cubiertos blanco jumbo estuchados Fécula Maíz CAJA 500 Pzas. FM,1866.44
045FMAIZP,Set de cubiertos blanco jumbo estuchados Fécula Maíz PQTE 50 Pzas. FM,199.00
037FMAIZ,"Tenedor 15 cm blanco Fécula Maíz CAJA 1,000 Pzas. FM*2",661.42
037FMAIZP,Tenedor 15 cm blanco Fécula Maíz PQTE 200 Pzas. FM*2,152.73
040FMAIZ,"Tenedor 15 cm negro Fécula Maíz CAJA 1,000 Pzas. FM",930.70
040FMAIZP,Tenedor 15 cm negro Fécula Maíz PQTE 200 Pzas. FM,214.91
043FMAIZ,"Tenedor jumbo 17.5 cm blanco Fécula Maíz CAJA 1,000 Pzas. FM*2",923.78
043FMAIZP,Tenedor jumbo 17.5 cm blanco Fécula Maíz PQTE 200 Pzas. FM*2,203.00
034FMAIZ,Charola rectangular natural 23x18 cm Fécula Maíz CAJA 500 Pzas. FM*2,1317.27
034FMAIZP,Charola rectangular natural 23x18 cm Fécula Maíz PQTE 50 Pzas. FM*2,129.00
004IMP,Impresión 1 tinta - Serigrafía - Caja Pizza,5.11
008IMP,Grabado Placa - Serigrafía pago único por tamaño,266.67
021IMP,Grabado Placa -pago unica ocasión-*1,818.82
023IMP,Grabado Placa -pago unica ocasión-*2,563.22
024IMP,Grabado Placa -pago unica ocasión-*3,600.00
001.1IMP,Impresión 1 tinta - Serigrafía - CHICO,2.64
001.0IMP,Impresión 1 tinta - Serigrafía - MEDIANO y GRANDE,3.30
005IMP,Impresión 1 tinta - Serigrafía -ESPECIAL,2.24
002.1IMP,Impresión 1 tinta -Fajilla Carton Bio $/pza *1,1.48
002.0IMP,Impresión 1 tinta -Vaso PLA clear $/pza *1,1.15
002.2IMP,Impresión 1 tinta -Vaso PLA clear $/pza *2,0.81
003.0IMP,Impresión 1 tinta -Vaso PLA clear $/pza *3,0.66
001.2IMP,Impresión 2 tintas - Serigrafía - CHICO,4.22
001.3IMP,Impresión 2 tintas - Serigrafía - MEDIANO y GRANDE,4.43
003.1IMP,Impresión 2 tintas -Vaso PLA clear $/pza *3,1.32
003.2IMP,Impresión 3 tintas -Vaso PLA clear $/pza *3,1.98
002.3,Muestra Grafica/Diseño,562.50
001MADBAP,Agitador de Madera PQTE 500 Pzas. Madera*2,133.33
001MADBA,"Agitador Madera BOLSA 1,000 Pzas. *2",218.18
003.1MADBA,Brocheta Bambú c/nudo 10.5 cm BOLSA 100 Pzas. *15,176.32
004MADBA,Brocheta Bambú c/nudo 12 cm BOLSA 100 Pzas. *15,183.28
005MADBA,Brocheta Bambú c/nudo 15 cm BOLSA 100 Pzas. *15,194.88
006.0MADBA,Brocheta Bambú c/nudo 18 cm BOLSA 100 Pzas. *15,227.36
002MADBA,Brocheta Bambú c/nudo 7 cm BOLSA 100 Pzas. *15,150.00
003.0MADBA,Brocheta Bambú c/nudo 9 cm BOLSA 100 Pzas. *15,176.32
006.3MADBA,Brocheta Bambú lisa 15 cm BOLSA 100 Pzas. *15,30.00
006.4MADBA,Brocheta Bambú lisa 20 cm BOLSA 100 Pzas. *15,34.01
006.5MADBA,Brocheta Bambú lisa 20 cm BOLSA 100 Pzas. *15,38.00
015MADBA,"Cuchara Compostable y Biodegradable 16 cm Madera CAJA 1,000 Pzas. *3",615.87
015MADBAP,Cuchara Compostable y Biodegradable 16 cm Madera PQTE 100 Pzas. *3,88.18
017MADBAP,Cuchiillo Compostable y Biodegradable 16 cm Madera PQTE 100 Pzas. *3,88.18
017MADBA,"Cuchillo Compostable y Biodegradable 16 cm Madera CAJA 1,000 Pzas. *3",615.87
014MADBA,Mantel Bambú 24x24 cm BOLSA 1 Pza. *15,50.40
006.6MADBA,Palillo Bambú adorno/bolita madera de colores 9 cm PACK 100 Pzas. *15,224.00
006.7MADBA,Palillo Bambú adorno/bolita madera de colores 15 cm PACK 100 Pzas. *15,258.01
006.2MADBA,Palillo Bambú para Brocheta Plano 12 cm Bolsa 100 Pzas. *15,170.00
006.1MADBA,Palillo Bambú para Brocheta Plano 9 cm Bolsa 100 Pzas. *15,116.00
